id,term,categories,alternative spellings,notable_names,appeared_year,search_results_gscholar,source_1_citation,source_1_doi,source_2_citation,source_2_doi,source_3_citation,source_3_doi,definition,definition_url,parent_id,sibling_id_1,sibling_id_2,sibling_id_3
86F1C3DB,3D Journalism,Technology,,,1999-10-01T05:00:00+0000',4,"Schlichting, L. (2016). Interactive graphic journalism. VIEW Journal of European Television History and Culture, 5(10), 22-39.",https://doi.org/10.18146/2213-0969.2016.jethc110,"Zheleznyak, A. (2014). How to make money traveling. In 3D Journalism Forum (Saint-Petersburg, November 21-22, 2014). Available at: https://vk. com/audios429104 (accessed: 06.04. 2018).",,"Cohn, D. J. (2018). Looking anew [Book Review]. ArtAsiaPacific, (109), 116.",,,,,,,
73EA108A,Access Journalism,Motivation,,,1989-08-29T05:00:00+0000',536,"Van Dijk, T. A. (2013). Discourse, power and access. In Texts and practices (pp. 93-113). Routledge.",,"Reich, Z. (2008). How citizens create news stories: The “news access” problem reversed. Journalism studies, 9(5), 739-758.",https://doi.org/10.1080/14616700802207748,"Harcup, T. (2003). The Unspoken-Said' The Journalism of Alternative Media. Journalism, 4(3), 356-376.",https://doi.org/10.1177%2F14648849030043006,"""Access journalism refers to journalism (often in inerview form) which prioritizes access - meaning media time with important, rich, famous, powerful or otherwise influential poeple in politics, culture, sports, and other areas - over journalistic objectivity and/or integrity.""",Access Journalism. https://en.wikipedia.org/wiki/Access_journalism (28.11.19),,,,
CD47FC7F,Accountability Journalism,Motivation,Accountable Journalism,,2009-01-02T16:44:24+0000',930,"Salovaara, I., & Juzefovics, J. (2012). Who pays for good journalism? Accountability journalism and media ownership in the Central and Eastern European countries. Journalism Studies, 13(5-6), 763-774.",https://doi.org/10.1080/1461670X.2012.664425,"Breiner, J. (2016). The economics of accountability journalism: what price is right. In International Symposium on Online Journalism (Vol. 6, No. 1).",,,,,,,,,
3C6E5BD4,Activist Journalism,Motivation,,,2000-01-02T05:00:00+0000',854,"Wall, M. A. (2003). Social movements and the net: Activist journalism goes digital. Digital Journalism: Emerging media and the changing horizons of journalism, 113-122.",,"Ashuri, T. (2012). Activist journalism: Using digital technologies and undermining structures. Communication, culture & critique, 5(1), 38-56.",https://doi.org/10.1111/j.1753-9137.2011.01116.x,"Ward, S. J. (2009). Journalism ethics. The handbook of journalism studies, 295-309.",,"""Activist and radical journalism, and radical media as its outlet, are defined as media and journalism that posit an alternative vision to the current state of affairs and its policies, priorities, and perspectives. [...] Activist and radical journalism can be further defined in terms of its relationship to mainstream journalism, pointing to an occasional overlap with alternative journalism.""","Siapera, E. & Farrell, S. (2019, 29 Apr). Activist and Radical Journalism. https://doi.org/10.1002/9781118841570.iejs0115",,,,
5D9FDB52,Adversarial Journalism,Motivation,,,1982-06-13T05:00:00+0000',653,"Franklin, B., Hamer, M., Hanna, M., Kinsey, M., & Richardson, J. E. (2005). Key concepts in journalism studies. Sage.",,,,,,,,,,,
E294DEFE,Advocacy Journalism,Motivation,,,1971-10-03T05:00:00+0000',4060,"Waisbord, S. (2009). Advocacy journalism in a global context. The handbook of journalism studies, 371-385.",,"Kempf, W. (2007). Peace journalism: A tightrope walk between advocacy journalism and constructive conflict coverage. Conflict & communication online, 6(2).",,"Waisbord, S., & Peruzzotti, E. (2009). The environmental story that wasn’t: Advocacy, journalism and the asambleísmo movement in Argentina. Media, Culture & Society, 31(5), 691-709.",https://doi.org/10.1177/0163443709339462,"""Generally, advocacy journalism has been considered to be a particular style of reporting, one which promotes a specific political or social cause. It is usually considered in opposition to objective journalism [...]. That is to say that advocacy journalists are not neutral and detached reporters who remain outside events and report only facts.""","Charles, M. (2019, 29 Apr). Advocacy Journalism. https://doi.org/10.1002/9781118841570.iejs0116",,,,
1402E81D,Aesthetic Journalism,"Motivation, Medium",,,null,216,"Cramerotti, A. (2009). Aesthetic journalism: How to inform without informing. Intellect Books.",,,,,,"""As the art world eagerly embraces a journalistic approach, Aesthetic Journalism explores why contemporary art exhibitions often consist of interviews, documentaries and reportage. […] Aesthethic Journalism suggests future developments of this new relationship between art and documentary journalism, offering itself as a useful tool to audiences, scholars, producers and critics alike.""","Cramerotti, A. 2009. Aesthetic Journalism: How to Inform Without Informing (Vol. 2). Bristol: Intellect Books.",,,,
DBBE3B0C,Agricultural Journalism,"Motivation, Beat",,,1975-07-26T05:00:00+0000',2390,"Marti, D. B. (1980). Agricultural journalism and the diffusion of knowledge: the first half-century in America. Agricultural History, 54(1), 28-37.",,"Evans, J. F., & Bolick, J. G. (1982). Today's Curricula: In Agricultural Journalism and Communications. Journal of Applied Communications, 65(1), 5.",https://doi.org/10.4148/1051-0834.1738,"Pawlick, T. (2001). The invisible farm: The worldwide decline of farm news and agricultural journalism training. Rowman & Littlefield.",,"""Agricultural Journalism can be described as specific content within any publication or entire niche publications about any agricultural specializations or interests. In any form it embodies practices, values and interplay between timely social forces.""",https://www.taylorfrancis.com/books/9780203942161,,,,
E8949873,Algorithmic Journalism,Technology,,,null,828,"Anderson, C. W. (2013). Towards a sociology of computational and algorithmic journalism. New media & society, 15(7), 1005-1021.",https://doi.org/10.1177/1461444812465137,"Dörr, K. N. (2016). Mapping the field of algorithmic journalism. Digital journalism.",https://doi.org/10.1080/21670811.2015.1096748,"Dörr, K. N., & Hollnbuchner, K. (2017). Ethical challenges of algorithmic journalism. Digital journalism, 5(4), 404-419.",https://doi.org/10.1080/21670811.2016.1167612,,,,,,
2EE4F0E0,Alternative Journalism,Motivation,,,1977-06-12T05:00:00+0000',3660,"Atton, C., & Hamilton, J. F. (2008). Alternative journalism. Sage.",,"Atton, C. (2009). Alternative and citizen journalism. The handbook of journalism studies, 265-278.",,"Atton, C. (2003). What is alternative'journalism?",,"""Alternative journalism can be defined as the direct involvement of citizens in collecting, editing, commenting on, and disseminating news. The objective of alternative journalism is to provide the public with information that is free of the biases of mainstream media and not manipulated by any political, financial, or commercial interests. [It] is considered a grassroots movement that rejects the vertical organization of the media business as well as the formality and professionalism of mainstream journalism.""","Dimitrakopoulou, D. (2019, 29 Apr). Alternative Journalism. https://doi.org/10.1002/9781118841570.iejs0117",,,,
